driver_gender,driver_sobriety_condition,driver_age,driver_aggressive_driving,vehicle_type,vehicle_year,vehicle_maneuver,road_alignment,road_surface_condition,crash_location,crash_type,traffic_control,season,day_of_week,crash_time,light_condition,weather_condition,area type,INJURY_SEVERITY
Male,Sober,15-20,N,Car,<5 Years,Lane Changing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Morning Peak,Daylight,Clear,Rural,not_serious
Female,Sober,31-40,N,SUV,5-10 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Morning Peak,Daylight,Clear,Rural,not_serious
Female,Sober,26-30,N,Car,<5 Years,Turning,Curve,Dry,Intersection,Other,Stop/Warning/Yield Sign,Spring,weekday,Day Off-Peak,Daylight,Clear,Rural,serious
Male,Sober,21-25,N,Car,5-10 Years,Slowing,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Spring,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
Female,Sober,51-60,N,SUV,>10 Years,Turning,Curve,Dry,Intersection,Rear End,Stop/Warning/Yield Sign,Summer,weekday,Day Off-Peak,Daylight,Cloudy,Rural,not_serious
Female,Sober,41-50,Y,SUV,>10 Years,Turning,Curve,Wet,Intersection,Angle,Stop/Warning/Yield Sign,Summer,weekday,Morning Peak,Daylight,Cloudy,Rural,not_serious
Male,Sober,60+,N,SUV,<5 Years,Straight,Straight,Dry,Not Intersection,Other,Uncontrolled,Summer,weekend,Day Off-Peak,Daylight,Clear,Urban,not_serious
Female,Sober,21-25,N,Car,<5 Years,Straight,Straight,Dry,Not Intersection,Angle,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Clear,Urban,not_serious
Female,Sober,21-25,N,Car,>10 Years,Straight,Straight,Dry,Intersection,Angle,Uncontrolled,Spring,weekday,Night Off-Peak,Dark-Lighted,Clear,Urban,not_serious
Male,Sober,41-50,N,SUV,5-10 Years,Lane Changing,Straight,Dry,Not Intersection,Other,Uncontrolled,Winter,weekday,Afternoon Peak,Daylight,Clear,Urban,not_serious
Male,Sober,60+,N,Pickup,<5 Years,Straight,Straight,Dry,Not Intersection,Rear End,Uncontrolled,Winter,weekday,Day Off-Peak,Daylight,Clear,Rural,not_serious
